episode,inflow_prob,Vehicles_A,reward_A,Vehicle_B,reward_B,vehicles_C,reward_C,vehicles_I,reward_I,time
5,0.67,50,-1226.0,7,-29.0,27,-379.0,27,-300.0,28
10,0.69,50,-1176.0,0,-1.0,38,-861.0,34,-528.0,35
15,0.7,43,-861.0,0,0.0,0,0.0,50,-1225.0,20
20,0.72,50,-1176.0,0,0.0,22,-231.0,32,-561.0,32
25,0.69,35,-562.0,12,-78.0,0,-3.0,50,-1225.0,25
30,0.56,31,-528.0,9,-21.0,2,-1.0,50,-1128.0,27
35,0.55,50,-1225.0,1,-10.0,1,-1.0,48,-990.0,34
40,0.79,33,-407.0,3,-15.0,38,-666.0,50,-1225.0,26
45,0.69,50,-1129.0,0,0.0,10,-45.0,44,-946.0,24
50,0.51,24,-325.0,0,-1.0,30,-351.0,50,-1081.0,52
55,0.64,50,-1035.0,3,-6.0,0,0.0,23,-190.0,35
60,0.62,34,-496.0,22,-276.0,50,-1176.0,41,-741.0,40
65,0.56,22,-231.0,24,-254.0,22,-325.0,50,-1176.0,41
70,0.4,10,-28.0,11,-67.0,30,-465.0,50,-1225.0,32
75,0.41,18,-120.0,4,-11.0,31,-496.0,50,-1225.0,44
80,0.46,50,-1081.0,8,-36.0,35,-630.0,44,-861.0,65
85,0.56,47,-947.0,9,-78.0,8,-15.0,50,-1081.0,33
90,0.71,24,-300.0,16,-91.0,15,-120.0,50,-1081.0,26
95,0.44,50,-1226.0,5,-16.0,30,-465.0,45,-861.0,79
100,0.61,47,-1035.0,0,-1.0,47,-1128.0,50,-1225.0,43
105,0.49,50,-1225.0,3,-6.0,24,-253.0,36,-561.0,34
110,0.63,50,-1081.0,0,0.0,36,-528.0,30,-496.0,23
115,0.68,50,-1176.0,0,0.0,0,0.0,50,-1176.0,25
120,0.64,38,-631.0,6,-22.0,9,-45.0,50,-1176.0,30
125,0.66,17,-78.0,16,-137.0,8,-36.0,50,-1035.0,28
130,0.63,48,-946.0,1,-21.0,8,-28.0,50,-1225.0,39
135,0.66,31,-351.0,3,-28.0,16,-105.0,50,-1081.0,36
140,0.43,10,-36.0,3,-7.0,16,-136.0,50,-1176.0,33
145,0.4,45,-904.0,2,-3.0,41,-861.0,50,-1225.0,69
150,0.76,50,-1176.0,0,-1.0,0,0.0,50,-1081.0,24
155,0.77,50,-1081.0,1,-21.0,10,-16.0,43,-741.0,21
160,0.74,34,-561.0,4,-2.0,23,-276.0,50,-1128.0,26
165,0.69,48,-1036.0,4,-10.0,24,-300.0,50,-1128.0,26
170,0.73,50,-1177.0,11,-67.0,27,-435.0,21,-153.0,25
175,0.66,33,-465.0,0,0.0,2,-1.0,50,-1176.0,20
180,0.4,50,-1225.0,0,-1.0,16,-171.0,25,-276.0,70
185,0.4,50,-1225.0,3,-6.0,0,-3.0,46,-946.0,42
190,0.51,25,-276.0,8,-78.0,28,-300.0,50,-1225.0,32
195,0.44,28,-465.0,15,-56.0,17,-210.0,50,-1128.0,34
200,0.74,50,-1176.0,5,-15.0,2,-3.0,45,-903.0,27
205,0.41,34,-528.0,0,0.0,34,-703.0,50,-1176.0,49
210,0.62,50,-1081.0,0,0.0,4,-11.0,34,-465.0,19
215,0.64,50,-1035.0,1,-6.0,31,-595.0,43,-861.0,34
220,0.61,43,-820.0,29,-435.0,32,-528.0,50,-1176.0,51
225,0.46,43,-741.0,0,-1.0,4,-10.0,50,-1081.0,37
230,0.53,50,-1082.0,25,-326.0,20,-325.0,46,-861.0,34
235,0.65,50,-1225.0,0,0.0,0,-1.0,32,-406.0,18
240,0.46,50,-1225.0,24,-300.0,28,-406.0,44,-903.0,49
245,0.64,50,-1128.0,7,-55.0,38,-703.0,43,-741.0,43
250,0.77,37,-561.0,16,-190.0,8,-15.0,50,-1225.0,27
255,0.59,14,-78.0,50,-1176.0,31,-528.0,8,-36.0,34
260,0.7,42,-821.0,2,-3.0,18,-172.0,50,-1225.0,35
265,0.6,36,-595.0,0,0.0,0,-3.0,50,-1225.0,29
270,0.62,44,-820.0,0,-1.0,8,-55.0,50,-1128.0,16
275,0.4,50,-1129.0,9,-105.0,0,0.0,18,-91.0,57
280,0.46,38,-631.0,0,-3.0,25,-378.0,50,-1128.0,48
285,0.57,50,-1226.0,0,0.0,15,-190.0,25,-276.0,31
290,0.65,50,-1176.0,33,-561.0,5,-15.0,47,-1128.0,36
295,0.64,50,-1128.0,27,-379.0,17,-154.0,31,-378.0,34
300,0.61,50,-1225.0,0,0.0,28,-435.0,45,-1035.0,45
305,0.72,50,-1225.0,38,-741.0,44,-903.0,21,-210.0,33
310,0.42,23,-190.0,30,-466.0,10,-55.0,50,-1176.0,25
315,0.44,9,-45.0,35,-666.0,50,-1081.0,25,-253.0,49
320,0.62,50,-1128.0,0,0.0,8,-36.0,50,-1035.0,24
325,0.6,17,-171.0,24,-231.0,3,-2.0,50,-1176.0,23
330,0.58,50,-1225.0,0,0.0,6,-22.0,43,-861.0,31
335,0.79,43,-861.0,29,-528.0,20,-153.0,50,-1035.0,28
340,0.76,50,-1176.0,0,-1.0,0,0.0,49,-1035.0,23
345,0.74,44,-780.0,0,0.0,0,0.0,50,-1176.0,26
350,0.54,50,-1225.0,0,0.0,4,0.0,48,-1035.0,45
355,0.69,35,-497.0,2,-3.0,25,-325.0,50,-1128.0,26
360,0.45,0,0.0,50,-1176.0,10,-21.0,34,-595.0,92
365,0.58,14,-55.0,37,-780.0,0,0.0,50,-1225.0,53
370,0.75,28,-301.0,30,-465.0,6,-22.0,50,-1081.0,22
375,0.7,27,-253.0,22,-254.0,2,-10.0,50,-1176.0,23
380,0.51,11,-105.0,12,-66.0,8,-10.0,50,-1128.0,37
385,0.62,50,-1176.0,24,-300.0,9,-45.0,38,-703.0,36
390,0.42,32,-406.0,32,-528.0,0,-1.0,50,-1225.0,82
395,0.8,27,-325.0,27,-379.0,31,-595.0,50,-1176.0,25
400,0.68,38,-561.0,14,-153.0,27,-301.0,50,-1128.0,29
405,0.56,0,-10.0,50,-1081.0,23,-190.0,32,-666.0,36
410,0.61,33,-436.0,0,-1.0,0,0.0,50,-1128.0,28
415,0.66,30,-378.0,20,-210.0,0,-1.0,50,-1128.0,28
420,0.52,16,-91.0,21,-276.0,2,0.0,50,-1176.0,22
425,0.76,41,-781.0,0,-1.0,0,-3.0,50,-1128.0,21
430,0.49,19,-171.0,50,-1225.0,40,-820.0,39,-666.0,55
435,0.4,13,-45.0,0,-1.0,17,-153.0,50,-1128.0,48
440,0.51,39,-741.0,15,-66.0,6,-21.0,50,-1176.0,44
445,0.51,6,-10.0,19,-191.0,1,-2.0,50,-1035.0,30
450,0.51,13,-66.0,32,-528.0,3,-6.0,50,-1128.0,47
455,0.41,0,0.0,18,-171.0,1,0.0,50,-1225.0,56
460,0.71,18,-210.0,50,-1225.0,30,-466.0,50,-1128.0,28
465,0.49,29,-465.0,50,-1082.0,10,-55.0,43,-861.0,67
470,0.44,36,-562.0,1,-21.0,4,-6.0,50,-1176.0,32
475,0.41,36,-595.0,7,-28.0,0,-3.0,50,-1128.0,34
480,0.66,17,-153.0,22,-211.0,28,-528.0,50,-1225.0,37
485,0.68,50,-1081.0,5,-55.0,5,-1.0,24,-253.0,22
490,0.58,24,-351.0,21,-153.0,0,-1.0,50,-1225.0,52
495,0.59,23,-231.0,7,-28.0,0,0.0,50,-1128.0,30
500,0.75,14,-153.0,6,-1.0,1,-1.0,50,-1128.0,21
505,0.52,5,-28.0,50,-1225.0,0,-1.0,21,-231.0,41
510,0.79,27,-276.0,8,-36.0,1,-1.0,50,-1128.0,17
515,0.47,4,-1.0,40,-903.0,3,-21.0,50,-1128.0,77
520,0.41,2,-6.0,13,-36.0,20,-210.0,50,-1176.0,35
525,0.65,50,-1035.0,35,-630.0,2,-3.0,47,-1035.0,38
530,0.69,15,-78.0,36,-667.0,17,-231.0,50,-1176.0,32
535,0.66,5,-15.0,42,-780.0,14,-153.0,50,-1225.0,35
540,0.51,3,0.0,18,-210.0,18,-105.0,50,-1176.0,40
545,0.76,41,-666.0,40,-946.0,19,-137.0,50,-1035.0,32
550,0.74,12,-120.0,21,-231.0,32,-378.0,50,-1225.0,19
555,0.72,14,-91.0,15,-171.0,42,-703.0,50,-1081.0,29
560,0.57,18,-137.0,38,-742.0,10,-55.0,50,-1176.0,38
565,0.77,26,-325.0,21,-253.0,8,-7.0,50,-1225.0,22
570,0.61,0,0.0,50,-1225.0,0,0.0,50,-1128.0,46
575,0.69,27,-465.0,34,-496.0,11,-91.0,50,-1035.0,22
580,0.64,3,-3.0,36,-741.0,10,-15.0,50,-1225.0,28
585,0.68,21,-153.0,27,-379.0,0,-3.0,50,-1128.0,29
590,0.69,22,-325.0,20,-120.0,3,-6.0,50,-1176.0,26
595,0.65,7,-4.0,29,-528.0,0,0.0,50,-1128.0,26
600,0.71,40,-631.0,34,-595.0,31,-379.0,50,-1225.0,31
605,0.51,6,-15.0,7,-21.0,3,-1.0,50,-1035.0,30
610,0.56,0,-3.0,15,-136.0,7,-10.0,50,-1081.0,43
615,0.4,6,-15.0,3,-15.0,9,-11.0,50,-1176.0,41
620,0.77,23,-231.0,5,-55.0,15,-55.0,50,-1128.0,24
625,0.55,46,-946.0,0,0.0,0,0.0,50,-1176.0,13
630,0.5,0,0.0,3,-15.0,50,-1176.0,23,-190.0,49
635,0.53,0,-1.0,7,-28.0,5,-1.0,50,-1225.0,33
640,0.55,23,-171.0,36,-741.0,2,-1.0,50,-1081.0,46
645,0.61,50,-1225.0,0,0.0,0,-1.0,30,-406.0,26
650,0.77,27,-406.0,26,-254.0,1,-21.0,50,-1176.0,27
655,0.7,50,-1081.0,0,-6.0,6,-15.0,11,-45.0,24
660,0.58,23,-231.0,0,0.0,4,-11.0,50,-1128.0,53
665,0.47,1,-6.0,10,-15.0,48,-1176.0,50,-1176.0,74
670,0.74,2,-10.0,34,-528.0,7,-28.0,50,-1081.0,31
675,0.42,1,0.0,22,-190.0,0,0.0,50,-1176.0,57
680,0.41,4,-1.0,2,-3.0,0,0.0,50,-1176.0,47
685,0.53,1,-3.0,17,-153.0,15,-79.0,50,-1128.0,32
690,0.78,5,-28.0,10,-55.0,9,-21.0,50,-1225.0,21
695,0.62,50,-1176.0,0,0.0,0,0.0,39,-703.0,21
700,0.75,50,-1176.0,2,-3.0,5,-28.0,29,-378.0,20
705,0.56,42,-861.0,8,-15.0,0,0.0,50,-1128.0,38
710,0.46,0,0.0,7,-10.0,13,-171.0,50,-1225.0,33
715,0.52,5,-28.0,50,-1177.0,22,-253.0,35,-496.0,49
720,0.68,0,0.0,43,-861.0,0,0.0,50,-1081.0,28
725,0.67,7,-55.0,50,-1176.0,43,-1035.0,35,-528.0,34
730,0.48,3,-10.0,12,-28.0,0,-6.0,50,-1035.0,27
735,0.51,0,0.0,10,-36.0,0,0.0,50,-1225.0,37
740,0.41,0,0.0,24,-210.0,0,-3.0,50,-1176.0,32
745,0.68,4,-15.0,50,-1128.0,39,-630.0,16,-120.0,22
750,0.55,0,-1.0,9,-36.0,11,-55.0,50,-1225.0,35
755,0.72,29,-406.0,0,-6.0,18,-136.0,50,-1081.0,31
760,0.76,2,-3.0,50,-1225.0,0,0.0,34,-595.0,32
765,0.78,8,-6.0,21,-276.0,33,-595.0,50,-1176.0,22
770,0.54,50,-1036.0,17,-153.0,2,-3.0,36,-780.0,56
775,0.42,1,0.0,7,-28.0,5,-3.0,50,-1225.0,49
780,0.48,0,0.0,50,-1129.0,0,0.0,14,-55.0,35
785,0.65,2,0.0,12,-136.0,4,-1.0,50,-1176.0,34
790,0.64,0,-1.0,22,-276.0,12,-28.0,50,-1225.0,29
795,0.68,28,-378.0,11,-28.0,6,-22.0,50,-1081.0,32
800,0.59,3,0.0,10,-66.0,4,-21.0,50,-1128.0,23
805,0.54,19,-190.0,10,-78.0,9,-28.0,50,-1081.0,28
810,0.45,3,-10.0,10,-45.0,14,-136.0,50,-1035.0,62
815,0.75,1,0.0,46,-990.0,13,-91.0,50,-1081.0,38
820,0.58,6,-21.0,50,-1176.0,9,-46.0,28,-351.0,39
825,0.55,11,-29.0,8,-36.0,2,-10.0,50,-1128.0,51
830,0.41,11,-36.0,0,-3.0,2,-10.0,50,-1081.0,49
835,0.42,18,-190.0,1,0.0,42,-903.0,50,-1035.0,54
840,0.78,2,-3.0,50,-1081.0,10,-36.0,37,-820.0,31
845,0.56,0,-1.0,50,-1176.0,26,-465.0,32,-406.0,44
850,0.78,3,-6.0,26,-276.0,0,-1.0,50,-1081.0,26
855,0.41,1,-3.0,50,-1035.0,0,0.0,3,-1.0,41
860,0.57,17,-105.0,8,-45.0,4,-21.0,50,-1225.0,25
865,0.65,11,-55.0,7,-10.0,0,0.0,50,-1128.0,36
870,0.78,3,0.0,50,-1225.0,0,-1.0,5,0.0,22
875,0.57,8,-45.0,36,-561.0,19,-154.0,50,-1225.0,68
880,0.7,0,0.0,50,-1176.0,12,-36.0,6,-15.0,18
885,0.7,10,-15.0,13,-153.0,9,-36.0,50,-1225.0,25
890,0.65,1,0.0,50,-1176.0,0,0.0,27,-435.0,22
895,0.57,49,-990.0,0,-1.0,1,-1.0,50,-1176.0,35
900,0.78,11,-78.0,7,-11.0,5,-55.0,50,-1225.0,26
905,0.72,3,-3.0,18,-105.0,7,-55.0,50,-1176.0,23
910,0.45,11,-21.0,0,0.0,44,-991.0,50,-1176.0,59
915,0.73,3,-3.0,50,-1177.0,1,-2.0,9,-28.0,21
920,0.55,7,-15.0,0,-1.0,0,0.0,50,-1176.0,57
925,0.43,8,-10.0,0,0.0,16,-137.0,50,-1128.0,31
930,0.75,0,0.0,9,-45.0,3,-1.0,50,-1128.0,30
935,0.67,0,0.0,8,-21.0,23,-351.0,50,-1081.0,23
940,0.74,0,0.0,50,-1176.0,7,-10.0,0,-1.0,20
945,0.44,1,0.0,1,-10.0,10,-15.0,50,-1225.0,45
950,0.79,6,-28.0,20,-253.0,19,-190.0,50,-1176.0,28
955,0.57,41,-780.0,0,-1.0,2,-10.0,50,-1035.0,30
960,0.48,4,-21.0,8,-6.0,0,-6.0,50,-1128.0,37
965,0.55,2,-10.0,50,-1128.0,12,-78.0,26,-300.0,24
970,0.48,5,-28.0,14,-78.0,2,-15.0,50,-1035.0,27
975,0.53,1,0.0,28,-351.0,2,-1.0,50,-1225.0,58
980,0.46,1,0.0,5,-6.0,0,0.0,50,-1225.0,39
