episode,inflow_prob,Vehicles_A,reward_A,Vehicle_B,reward_B,vehicles_C,reward_C,vehicles_I,reward_I,time
5,0.49,22,-253.0,19,-190.0,30,-435.0,0,-10.0,53
10,0.46,30,-351.0,0,-1.0,7,-28.0,24,-190.0,27
15,0.79,30,-379.0,0,0.0,3,-6.0,16,-91.0,14
20,0.73,18,-91.0,10,-56.0,10,-55.0,30,-325.0,11
25,0.41,30,-351.0,2,-3.0,25,-253.0,24,-325.0,49
30,0.53,27,-276.0,0,0.0,9,-78.0,30,-435.0,24
35,0.42,24,-210.0,0,0.0,13,-91.0,30,-378.0,31
40,0.52,22,-210.0,25,-325.0,18,-172.0,30,-378.0,26
45,0.5,21,-210.0,19,-120.0,11,-66.0,30,-351.0,39
50,0.52,26,-254.0,23,-276.0,18,-171.0,30,-351.0,34
55,0.57,30,-325.0,5,-15.0,21,-231.0,30,-435.0,30
60,0.52,15,-78.0,10,-55.0,25,-325.0,30,-435.0,27
65,0.57,30,-435.0,5,-15.0,30,-435.0,23,-276.0,27
70,0.71,30,-406.0,12,-153.0,30,-379.0,20,-171.0,26
75,0.57,19,-136.0,0,0.0,10,-55.0,30,-406.0,17
80,0.69,30,-352.0,6,-21.0,9,-46.0,19,-105.0,12
85,0.45,23,-276.0,6,-21.0,30,-378.0,21,-300.0,31
90,0.66,15,-91.0,21,-231.0,16,-137.0,30,-325.0,30
95,0.45,30,-378.0,4,-10.0,16,-78.0,19,-231.0,32
100,0.63,9,-36.0,14,-66.0,30,-351.0,9,-45.0,20
105,0.42,17,-154.0,7,-28.0,30,-378.0,16,-210.0,24
110,0.47,18,-171.0,18,-136.0,16,-136.0,30,-435.0,28
115,0.67,30,-435.0,0,0.0,0,-3.0,30,-406.0,22
120,0.66,30,-378.0,3,-6.0,11,-21.0,21,-231.0,16
125,0.4,30,-435.0,3,-6.0,18,-105.0,25,-351.0,27
130,0.7,30,-379.0,0,0.0,0,-10.0,30,-325.0,10
135,0.5,23,-232.0,0,-6.0,17,-105.0,30,-406.0,26
140,0.53,30,-406.0,17,-153.0,20,-210.0,22,-153.0,19
145,0.45,5,-15.0,20,-210.0,30,-435.0,10,-120.0,41
150,0.75,24,-378.0,3,0.0,19,-154.0,30,-406.0,18
155,0.72,17,-121.0,1,-21.0,5,-1.0,30,-435.0,15
160,0.58,26,-231.0,5,-15.0,7,-66.0,30,-406.0,19
165,0.76,30,-406.0,2,-3.0,10,-36.0,24,-231.0,16
170,0.75,30,-435.0,0,0.0,12,-78.0,13,-45.0,16
175,0.6,30,-352.0,0,-1.0,8,-36.0,23,-190.0,22
180,0.55,25,-232.0,19,-191.0,17,-153.0,30,-406.0,25
185,0.52,30,-326.0,4,-45.0,22,-153.0,25,-231.0,22
190,0.79,30,-325.0,0,-1.0,10,-55.0,24,-231.0,12
195,0.58,0,0.0,30,-435.0,9,-55.0,12,-91.0,19
200,0.56,30,-435.0,7,-7.0,11,-67.0,27,-276.0,18
205,0.65,26,-300.0,24,-254.0,25,-325.0,30,-435.0,24
210,0.47,30,-378.0,12,-55.0,7,-28.0,26,-231.0,13
215,0.77,13,-120.0,30,-378.0,23,-231.0,9,-45.0,16
220,0.61,25,-276.0,0,-1.0,0,-3.0,30,-351.0,14
225,0.52,30,-352.0,16,-136.0,0,0.0,10,-15.0,32
230,0.43,26,-276.0,0,0.0,2,-4.0,30,-435.0,29
235,0.75,30,-378.0,0,-1.0,0,-10.0,30,-378.0,24
240,0.5,19,-190.0,14,-79.0,1,-15.0,30,-435.0,26
245,0.66,12,-46.0,24,-300.0,9,-45.0,30,-378.0,18
250,0.52,30,-407.0,9,-46.0,11,-66.0,21,-171.0,12
255,0.73,30,-326.0,0,-15.0,12,-28.0,25,-210.0,10
260,0.63,9,-11.0,12,-78.0,20,-153.0,30,-435.0,20
265,0.6,30,-351.0,13,-91.0,26,-276.0,10,-36.0,23
270,0.44,30,-351.0,0,-1.0,10,-56.0,10,-36.0,19
275,0.59,30,-406.0,3,-28.0,9,-15.0,17,-78.0,15
280,0.75,30,-379.0,0,0.0,9,-46.0,25,-276.0,14
285,0.58,30,-325.0,10,-56.0,13,-91.0,23,-171.0,14
290,0.42,30,-378.0,13,-66.0,23,-231.0,16,-136.0,46
295,0.56,30,-325.0,0,-6.0,7,-10.0,26,-300.0,11
300,0.63,30,-435.0,7,-28.0,21,-153.0,8,-45.0,16
305,0.52,8,-15.0,4,-28.0,7,-10.0,30,-406.0,29
310,0.46,30,-378.0,18,-171.0,14,-45.0,21,-231.0,37
315,0.74,30,-351.0,1,-1.0,4,-3.0,18,-171.0,13
320,0.67,30,-325.0,2,-4.0,0,-3.0,23,-171.0,12
325,0.6,20,-136.0,2,-3.0,21,-232.0,30,-351.0,28
330,0.68,30,-352.0,4,-21.0,5,-6.0,22,-210.0,18
335,0.8,30,-406.0,7,-29.0,3,-6.0,24,-190.0,13
340,0.53,30,-351.0,22,-253.0,19,-120.0,24,-300.0,43
345,0.54,30,-407.0,0,0.0,5,0.0,14,-136.0,23
350,0.56,28,-325.0,0,-1.0,5,-15.0,30,-406.0,11
355,0.48,19,-190.0,6,-4.0,22,-253.0,30,-406.0,39
360,0.79,30,-406.0,9,-45.0,4,-36.0,30,-406.0,16
365,0.5,19,-231.0,6,-36.0,30,-351.0,25,-325.0,27
