episode,inflow_prob,Vehicles_A,reward_A,Vehicle_B,reward_B,vehicles_C,reward_C,vehicles_I,reward_I,time
440,0.57,30,-435.0,0,0.0,8,-78.0,22,-210.0,17
445,0.4,3,-21.0,14,-105.0,30,-378.0,18,-171.0,17
450,0.63,24,-300.0,2,-1.0,0,0.0,30,-406.0,14
455,0.45,4,-2.0,7,-29.0,13,-91.0,30,-351.0,30
460,0.75,30,-406.0,2,-3.0,7,-29.0,22,-190.0,12
465,0.76,18,-105.0,6,-66.0,7,-3.0,30,-378.0,12
470,0.46,30,-435.0,1,-2.0,17,-153.0,4,-1.0,32
475,0.61,11,-46.0,19,-190.0,14,-105.0,30,-325.0,17
480,0.69,0,-6.0,30,-379.0,5,-15.0,15,-120.0,17
485,0.69,28,-325.0,14,-105.0,23,-276.0,30,-406.0,29
490,0.72,30,-378.0,0,0.0,0,0.0,26,-231.0,11
495,0.77,1,-1.0,30,-406.0,14,-55.0,22,-300.0,12
500,0.4,7,-16.0,14,-153.0,22,-253.0,30,-325.0,30
505,0.53,5,-6.0,15,-121.0,3,-6.0,30,-378.0,24
510,0.76,30,-435.0,2,-3.0,16,-66.0,14,-105.0,14
515,0.62,24,-210.0,0,-3.0,0,-6.0,30,-435.0,20
520,0.64,30,-435.0,0,-1.0,7,-28.0,24,-190.0,16
525,0.66,20,-136.0,13,-91.0,30,-406.0,19,-153.0,17
530,0.45,29,-379.0,5,-15.0,0,-3.0,30,-406.0,27
535,0.62,5,-10.0,30,-379.0,9,-46.0,3,-1.0,15
540,0.6,12,-46.0,23,-276.0,23,-276.0,30,-351.0,31
545,0.45,30,-378.0,11,-66.0,17,-120.0,9,-45.0,24
550,0.58,22,-153.0,9,-105.0,30,-435.0,26,-300.0,28
555,0.67,21,-190.0,20,-211.0,14,-105.0,30,-406.0,19
560,0.68,26,-253.0,5,-55.0,10,-16.0,30,-378.0,15
565,0.76,23,-171.0,19,-191.0,20,-211.0,30,-351.0,19
570,0.47,21,-190.0,5,-15.0,9,-55.0,30,-406.0,20
575,0.5,20,-121.0,9,-78.0,3,0.0,30,-406.0,14
580,0.44,14,-67.0,6,-45.0,27,-300.0,30,-378.0,26
585,0.62,27,-301.0,11,-67.0,14,-106.0,30,-406.0,20
590,0.59,30,-435.0,13,-46.0,18,-172.0,14,-55.0,17
595,0.44,30,-436.0,8,-37.0,29,-436.0,11,-28.0,33
600,0.74,30,-352.0,7,-29.0,27,-378.0,18,-136.0,17
605,0.75,29,-300.0,0,0.0,14,-105.0,30,-435.0,15
610,0.46,20,-172.0,17,-154.0,6,-22.0,30,-351.0,42
615,0.79,14,-55.0,13,-136.0,0,0.0,30,-325.0,10
620,0.72,22,-276.0,23,-172.0,19,-191.0,30,-435.0,18
625,0.68,29,-351.0,3,-6.0,5,-15.0,30,-406.0,25
630,0.57,18,-136.0,1,-2.0,8,-37.0,30,-325.0,12
635,0.6,18,-121.0,5,-16.0,16,-136.0,30,-435.0,15
640,0.51,15,-121.0,21,-231.0,30,-435.0,0,-6.0,21
645,0.48,9,-28.0,2,-15.0,30,-379.0,30,-351.0,39
650,0.77,30,-379.0,3,-6.0,4,-10.0,30,-406.0,17
655,0.49,30,-436.0,0,0.0,7,-16.0,16,-91.0,16
660,0.75,30,-406.0,5,-15.0,17,-171.0,20,-231.0,14
665,0.56,21,-253.0,4,-15.0,3,-1.0,30,-435.0,11
670,0.58,22,-253.0,7,-78.0,30,-378.0,3,-6.0,19
675,0.78,30,-436.0,6,-55.0,10,-21.0,27,-300.0,15
680,0.62,30,-435.0,12,-78.0,21,-190.0,17,-136.0,28
685,0.59,30,-435.0,0,0.0,5,-15.0,26,-276.0,18
690,0.53,15,-91.0,2,-21.0,30,-378.0,25,-276.0,30
695,0.44,30,-406.0,13,-91.0,30,-435.0,6,-45.0,28
700,0.63,30,-436.0,0,0.0,0,-1.0,26,-231.0,14
705,0.67,27,-276.0,0,0.0,0,0.0,30,-406.0,11
710,0.7,22,-190.0,4,-28.0,7,-36.0,30,-406.0,16
715,0.61,14,-120.0,13,-36.0,17,-153.0,30,-351.0,22
720,0.48,15,-120.0,0,0.0,9,-28.0,30,-406.0,20
725,0.44,30,-351.0,0,-1.0,11,-66.0,18,-91.0,15
730,0.53,30,-435.0,0,0.0,26,-301.0,22,-210.0,24
735,0.57,18,-121.0,4,-11.0,17,-231.0,30,-325.0,18
740,0.7,23,-276.0,5,-3.0,3,-1.0,30,-406.0,12
745,0.57,30,-406.0,0,0.0,20,-210.0,25,-253.0,23
750,0.41,23,-190.0,0,0.0,0,-1.0,30,-435.0,30
755,0.68,26,-325.0,4,-28.0,5,-1.0,30,-406.0,16
760,0.56,30,-407.0,12,-78.0,26,-351.0,22,-153.0,23
765,0.43,8,-78.0,30,-379.0,23,-277.0,26,-351.0,39
770,0.47,17,-78.0,16,-190.0,1,-3.0,30,-378.0,25
775,0.76,27,-325.0,0,0.0,0,0.0,30,-435.0,19
780,0.54,25,-276.0,2,-4.0,1,-2.0,30,-406.0,21
785,0.7,30,-378.0,8,-55.0,5,-28.0,30,-435.0,29
790,0.58,30,-435.0,0,0.0,7,-28.0,30,-325.0,13
795,0.62,30,-436.0,14,-105.0,21,-154.0,22,-276.0,30
800,0.68,30,-435.0,9,-45.0,9,-11.0,21,-231.0,14
805,0.67,30,-378.0,0,0.0,23,-190.0,14,-120.0,18
810,0.42,30,-352.0,0,0.0,18,-171.0,10,-15.0,35
815,0.51,30,-406.0,0,0.0,6,-22.0,30,-378.0,24
820,0.78,14,-136.0,8,-11.0,3,-21.0,30,-351.0,14
825,0.8,30,-326.0,15,-120.0,11,-28.0,17,-136.0,15
830,0.69,23,-276.0,10,-36.0,7,-15.0,30,-406.0,26
835,0.62,20,-136.0,14,-106.0,20,-210.0,30,-378.0,20
840,0.57,22,-172.0,20,-253.0,6,-45.0,30,-351.0,25
845,0.64,30,-407.0,6,-21.0,15,-120.0,28,-300.0,13
850,0.41,20,-231.0,0,0.0,5,-3.0,30,-435.0,35
855,0.65,15,-91.0,0,-6.0,2,-3.0,30,-378.0,13
860,0.77,30,-406.0,18,-210.0,17,-120.0,21,-190.0,15
865,0.42,30,-406.0,0,-6.0,25,-254.0,27,-253.0,28
870,0.53,22,-253.0,12,-45.0,17,-120.0,30,-435.0,23
875,0.41,30,-378.0,5,-15.0,16,-66.0,27,-406.0,28
880,0.68,30,-406.0,1,-1.0,7,-29.0,26,-231.0,13
885,0.45,13,-66.0,24,-300.0,30,-351.0,6,-45.0,17
890,0.47,28,-276.0,3,-21.0,30,-378.0,26,-276.0,34
895,0.62,27,-378.0,10,-21.0,9,-45.0,30,-406.0,25
900,0.51,30,-435.0,0,0.0,16,-136.0,29,-300.0,16
905,0.41,17,-78.0,0,0.0,16,-136.0,30,-351.0,19
910,0.53,30,-351.0,0,0.0,0,0.0,28,-325.0,22
915,0.8,30,-435.0,29,-435.0,6,-6.0,23,-276.0,17
920,0.56,10,-16.0,7,-29.0,14,-106.0,30,-406.0,20
925,0.76,30,-352.0,5,-15.0,3,-7.0,28,-300.0,23
930,0.51,30,-351.0,0,0.0,15,-136.0,8,-45.0,25
935,0.65,30,-435.0,17,-153.0,18,-120.0,23,-300.0,14
940,0.65,20,-120.0,0,-1.0,17,-153.0,30,-435.0,25
945,0.47,30,-378.0,6,-21.0,7,-28.0,15,-91.0,20
