episode,inflow_prob,Vehicles_A,reward_A,Vehicle_B,reward_B,vehicles_C,reward_C,vehicles_I,reward_I,time
5,0.71,30,-325.0,0,0.0,15,-120.0,27,-325.0,15
10,0.55,0,0.0,30,-436.0,12,-120.0,14,-66.0,35
15,0.74,25,-276.0,0,0.0,0,0.0,30,-435.0,12
20,0.63,26,-378.0,6,-2.0,0,-1.0,30,-406.0,12
25,0.67,30,-378.0,10,-55.0,19,-191.0,22,-153.0,18
30,0.47,25,-231.0,0,0.0,11,-91.0,30,-325.0,18
35,0.42,30,-352.0,0,0.0,7,-15.0,25,-300.0,17
40,0.67,30,-378.0,11,-67.0,14,-153.0,9,-21.0,21
45,0.56,30,-351.0,8,-91.0,16,-66.0,10,-36.0,24
50,0.73,25,-300.0,20,-171.0,6,-22.0,30,-351.0,18
55,0.51,12,-91.0,0,0.0,5,-3.0,30,-378.0,19
60,0.74,30,-351.0,0,0.0,6,-21.0,20,-120.0,16
65,0.47,19,-300.0,30,-326.0,18,-171.0,24,-300.0,33
70,0.7,22,-154.0,14,-106.0,4,-10.0,30,-351.0,11
75,0.43,30,-435.0,2,-15.0,12,-45.0,26,-253.0,23
80,0.7,8,-36.0,30,-406.0,15,-105.0,23,-325.0,26
85,0.52,30,-378.0,23,-277.0,26,-351.0,4,0.0,17
90,0.57,3,-10.0,30,-406.0,0,0.0,17,-136.0,16
95,0.58,26,-276.0,4,-10.0,10,-55.0,30,-406.0,19
100,0.61,19,-210.0,0,0.0,5,-1.0,30,-325.0,17
105,0.71,17,-91.0,10,-55.0,2,-4.0,30,-406.0,16
110,0.4,25,-253.0,0,-1.0,13,-91.0,30,-406.0,20
115,0.64,22,-211.0,10,-55.0,15,-120.0,30,-435.0,23
120,0.58,30,-325.0,7,-28.0,8,-36.0,25,-276.0,24
125,0.72,29,-378.0,0,-6.0,17,-105.0,30,-378.0,20
130,0.74,30,-436.0,0,-1.0,23,-351.0,30,-351.0,31
135,0.53,30,-435.0,0,-1.0,25,-325.0,20,-136.0,28
140,0.65,9,-105.0,30,-406.0,0,0.0,6,-66.0,21
145,0.66,25,-276.0,0,-1.0,6,-21.0,30,-351.0,10
150,0.79,27,-351.0,4,-3.0,0,0.0,30,-435.0,13
155,0.76,30,-406.0,0,0.0,6,-21.0,30,-406.0,16
160,0.54,24,-190.0,0,0.0,10,-55.0,30,-406.0,16
165,0.55,28,-300.0,0,-1.0,0,-15.0,30,-406.0,32
170,0.66,30,-406.0,8,-37.0,12,-120.0,27,-325.0,14
175,0.75,25,-351.0,3,-1.0,12,-78.0,30,-406.0,15
180,0.53,19,-191.0,14,-190.0,30,-435.0,16,-136.0,31
185,0.58,30,-379.0,15,-120.0,19,-153.0,16,-105.0,24
190,0.44,15,-121.0,19,-300.0,30,-407.0,20,-210.0,31
195,0.54,30,-435.0,0,0.0,4,-10.0,21,-276.0,26
200,0.52,18,-120.0,12,-120.0,30,-378.0,17,-120.0,26
205,0.7,20,-172.0,20,-300.0,25,-231.0,30,-406.0,18
210,0.61,18,-106.0,6,-45.0,14,-66.0,30,-378.0,18
215,0.77,20,-172.0,0,0.0,18,-172.0,30,-406.0,14
220,0.68,30,-435.0,0,-1.0,15,-120.0,26,-300.0,19
225,0.63,28,-406.0,22,-153.0,3,-6.0,30,-378.0,15
230,0.55,10,-78.0,30,-351.0,14,-45.0,23,-276.0,16
235,0.77,13,-55.0,0,-3.0,18,-137.0,30,-351.0,11
240,0.69,19,-154.0,0,-1.0,19,-191.0,30,-435.0,20
245,0.47,30,-351.0,7,-28.0,24,-325.0,23,-253.0,38
250,0.42,21,-231.0,0,0.0,30,-435.0,21,-300.0,31
